User;ID;SteamID
XapoH_116rus;34081;76561198203265681
Troy;56313;76561198862033380
Baton;123836;76561198932628170
MyGik73;132146;76561199111983647
SADAM0N;25929;76561198047567526
igoryok_simba;75331;76561198044148733
Isubre;190995;76561198048364600
orehs2;76819;76561198374055951
toxicman223;101768;76561198195867666
danielk;79005;76561198010133788
sanek_04_05_1988;169216;76561198254322604
Hishtar;49264;76561198044301996
LooxBoox;162026;76561198033397253
daft1q;140372;76561198816089700
STALIN46;97195;76561199058443709
dyadya_SaSHa;137769;76561198313568375
Barmaley;116719;76561199419878034
Arhilin;178642;76561198828500422
ЭЛАЙВ;52785;76561198247587154
San_Sanych;29499;76561198166354648
Pro100cJleCaPb;56002;76561198887875714
melkeeej;101751;76561197967210721
Носок судьбы;93001;76561198414644339
KINTARO;115597;76561198355942650
NeroN;147773;76561198338172770
Tovalk;197300;76561199569285232
ivlad2001;16276;76561198111804564
s3nQ;66900;76561197982350592
mebel_del_master;42519;76561198132720051
Grenka Vyborgsky;185373;76561198170197811
Andrayd;43442;76561198029501508
mactep.ac;57245;76561198317893151
castiel';117817;76561199166615724
ricochet;194248;76561199052194935
oleg-sibir;19984;76561198797178286
Hagi_Tragger;196807;76561198100483778
Alwaysbeenalxner;38438;76561198797734453
Invisible;78608;76561198096838421
kipishnoj;23271;76561198187119955
sergeyka13;18333;76561198315476415
federall-b;79754;76561198997908447
savavalve;150222;76561199030601969
Halk;14937;76561198980735441
Baton;123836;76561198932628170
opg1905;50881;76561199202258841
igoryok_simba;75331;76561198044148733
semengaag;53645;76561198438700134
